
HDI rank;;LEVEL HD;Survey Year_MDG;Share of income or expenditure(%) _Poorest 10%__MDG;"Share of income or expenditure
(%) _Poorest 20%_MDG";Share of income or expenditure(%) _Richest 20%__MDG;Share of income or expenditure(%) _Richest 10%__MDG;Inequality measures_Richest 10% to poorest 10%;Inequality measures_Richest 20% to poorest 20%;Inequality measures_Gini index
81;China;MEDIUM;2004;1.6;4.3;51.9;34.9;21.6;12.2;46.9
82;Grenada;MEDIUM;;;;;;;;
83;Armenia;MEDIUM;2003;3.6;8.5;42.8;29.0;8.0;5.0;33.8
84;Turkey;MEDIUM;2003;2.0;5.3;49.7;34.1;16.8;9.3;43.6
85;Suriname;MEDIUM;;;;;;;;
86;Jordan;MEDIUM;2002-03 ;2.7;6.7;46.3;30.6;11.3;6.9;38.8
87;Peru;MEDIUM;2003;1.3;3.7;56.7;40.9;30.4;15.2;52.0
88;Lebanon;MEDIUM;;;;;;;;
89;Ecuador;MEDIUM;1998;0.9;3.3;58.0;41.6;44.9;17.3;53.6
90;Philippines;MEDIUM;2003;2.2;5.4;50.6;34.2;15.5;9.3;44.5
91;Tunisia;MEDIUM;2000;2.3;6.0;47.3;31.5;13.4;7.9;39.8
92;Fiji;MEDIUM;;;;;;;;
93;Saint Vincent and the Grenadines;MEDIUM;;;;;;;;
94;Iran (Islamic Republic of);MEDIUM;1998;2.0;5.1;49.9;33.7;17.2;9.7;43.0
95;Paraguay;MEDIUM;2003;0.7;2.4;61.9;46.1;65.4;25.7;58.4
96;Georgia;MEDIUM;2003;2.0;5.6;46.4;30.3;15.4;8.3;40.4
97;Guyana;MEDIUM;;;;;;;;..
98;Azerbaijan;MEDIUM;2001;3.1;7.4;44.5;29.5;9.7;6.0;36.5
99;Sri Lanka;MEDIUM;2002;3.0;7.0;48.0;32.7;11.1;6.9;40.2
100;Maldives;MEDIUM;;;;;;;;..
101;Jamaica;MEDIUM;2004;2.1;5.3;51.6;35.8;17.3;9.8;45.5
102;Cape Verde;MEDIUM;;;;;;;;
103;El Salvador;MEDIUM;2002;0.7;2.7;55.9;38.8;57.5;20.9;52.4
104;Algeria;MEDIUM;1995;2.8;7.0;42.6;26.8;9.6;6.1;35.3
105;Viet Nam;MEDIUM;2004;4.2;9.0;44.3;28.8;6.9;4.9;34.4
106;Occupied Palestinian Territories;MEDIUM;;;;;;;;
107;Indonesia;MEDIUM;2002;3.6;8.4;43.3;28.5;7.8;5.2;34.3
108;Syrian Arab Republic;MEDIUM;;;;;;;;
109;Turkmenistan;MEDIUM;1998;2.6;6.1;47.5;31.7;12.3;7.7;40.8
110;Nicaragua;MEDIUM;2001;2.2;5.6;49.3;33.8;15.5;8.8;43.1
111;Moldova;MEDIUM;2003;3.2;7.8;41.4;26.4;8.2;5.3;33.2
112;Egypt;MEDIUM;1999-00  ;3.7;8.6;43.6;29.5;8.0;5.1;34.4
113;Uzbekistan;MEDIUM;2003;2.8;7.2;44.7;29.6;10.6;6.2;36.8
114;Mongolia;MEDIUM;2002;3.0;7.5;40.5;24.6;8.2;5.4;32.8
115;Honduras;MEDIUM;2003;1.2;3.4;58.3;42.2;34.2;17.2;53.8
116;Kyrgyzstan;MEDIUM;2003;3.8;8.9;39.4;24.3;6.4;4.4;30.3
117;Bolivia;MEDIUM;2002;0.3;1.5;63.0;47.2;168.1;42.3;60.1
118;Guatemala;MEDIUM;2002;0.9;2.9;59.5;43.4;48.2;20.3;55.1
119;Gabon;MEDIUM;;;;;;;;
120;Vanuatu;MEDIUM;;;;;;;;
121;South Africa;MEDIUM;2000;1.4;3.5;62.2;44.7;33.1;17.9;57.8
122;Tajikistan;MEDIUM;2003;3.3;7.9;40.8;25.6;7.8;5.2;32.6
123;Sao Tome and Principe;MEDIUM;;;;;;;;
124;Botswana;MEDIUM;1993;1.2;3.2;65.1;51.0;43.0;20.4;60.5
125;Namibia;MEDIUM;1993;0.5;1.4;78.7;64.5;128.8;56.1;74.3
126;Morocco;MEDIUM;1998-99  ;2.6;6.5;46.6;30.9;11.7;7.2;39.5
127;Equatorial Guinea;MEDIUM;;;;;;;;
128;India;MEDIUM;2004-05;3.6;8.1;45.3;31.1;8.6;5.6;36.8
129;Solomon Islands;MEDIUM;;;;;;;;
130;Lao People's Democratic Republic;MEDIUM;2002;3.4;8.1;43.3;28.5;8.3;5.4;34.6
131;Cambodia;MEDIUM;2004;2.9;6.8;49.6;34.8;12.2;7.3;41.7
132;Myanmar;MEDIUM;;;;;;;;
133;Bhutan;MEDIUM;;;;;;;;
134;Comoros;MEDIUM;;;;;;;;
135;Ghana;MEDIUM;1998-99 ;2.1;5.6;46.6;30.0;14.1;8.4;40.8
136;Pakistan;MEDIUM;2002;4.0;9.3;40.3;26.3;6.5;4.3;30.6
137;Mauritania;MEDIUM;2000;2.5;6.2;45.7;29.5;12.0;7.4;39.0
138;Lesotho;MEDIUM;1995;0.5;1.5;66.5;48.3;105.0;44.2;63.2
139;Congo;MEDIUM;;;;;;;;
140;Bangladesh;MEDIUM;2000;3.7;8.6;42.7;27.9;7.5;4.9;33.4
141;Swaziland;MEDIUM;2000-01 ;1.6;4.3;56.3;40.7;25.1;13.0;50.4
142;Nepal;MEDIUM;2003-04  ;2.6;6.0;54.6;40.6;15.8;9.1;47.2
143;Madagascar;MEDIUM;2001;1.9;4.9;53.5;36.6;19.2;11.0;47.5
144;Cameroon;MEDIUM;2001;2.3;5.6;50.9;35.4;15.7;9.1;44.6
145;Papua New Guinea;MEDIUM;1996;1.7;4.5;56.5;40.5;23.8;12.6;50.9
146;Haiti;MEDIUM;2001;0.7;2.4;63.4;47.7;71.7;26.6;59.2
147;Sudan;MEDIUM;;;;;;;;
148;Kenya;MEDIUM;1997;2.5;6.0;49.1;33.9;13.6;8.2;42.5
149;Djibouti;MEDIUM;;;;;;;;
150;Timor-Leste;MEDIUM;;;;;;;;
151;Zimbabwe;MEDIUM;1995-96;1.8;4.6;55.7;40.3;22.0;12.0;50.1
152;Togo;MEDIUM;;;;;;;;
153;Yemen;MEDIUM;1998;3.0;7.4;41.2;25.9;8.6;5.6;33.4
154;Uganda;MEDIUM;2002;2.3;5.7;52.5;37.7;16.6;9.2;45.7
155;Gambia;MEDIUM;1998;1.8;4.8;53.4;37.0;20.2;11.2;50.2
156;Senegal;MEDIUM;2001;2.7;6.6;48.4;33.4;12.3;7.4;41.3
157;Eritrea;MEDIUM;;;;;;;;
158;Nigeria;MEDIUM;2003;1.9;5.0;49.2;33.2;17.8;9.7;43.7
159;Tanzania (United Republic of);MEDIUM;2000-01;2.9;7.3;42.4;26.9;9.2;5.8;34.6
160;Guinea;MEDIUM;2003;2.9;7.0;46.1;30.7;10.5;6.6;38.6
161;Rwanda;MEDIUM;2000;2.1;5.3;53.0;38.2;18.6;9.9;46.8
162;Angola;MEDIUM;;;;;;;;
163;Benin;MEDIUM;2003;3.1;7.4;44.5;29.0;9.4;6.0;36.5
164;Malawi;MEDIUM;2004-05 ;2.9;7.0;46.6;31.8;10.9;6.7;39.0
165;Zambia;MEDIUM;2004;1.2;3.6;55.1;38.8;32.3;15.3;50.8
166;Côte d'Ivoire;MEDIUM;2002;2.0;5.2;50.7;34.0;16.6;9.7;44.6
167;Burundi;MEDIUM;1998;1.7;5.1;48.0;32.8;19.3;9.5;42.4
168;Congo (Democratic Republic of the);MEDIUM;;;;;;;;
169;Ethiopia;MEDIUM;1999-00 ;3.9;9.1;39.4;25.5;6.6;4.3;30.0
170;Chad;MEDIUM;;;;;;;;
171;Central African Republic;MEDIUM;1993;0.7;2.0;65.0;47.7;69.2;32.7;61.3
172;Mozambique;MEDIUM;2002-03  ;2.1;5.4;53.6;39.4;18.8;9.9;47.3
173;Mali;MEDIUM;2001;2.4;6.1;46.6;30.2;12.5;7.6;40.1
174;Niger;MEDIUM;1995;0.8;2.6;53.3;35.4;46.0;20.7;50.5
175;Guinea-Bissau;MEDIUM;1993;2.1;5.2;53.4;39.3;19.0;10.3;47.0
176;Burkina Faso;MEDIUM;2003;2.8;6.9;47.2;32.2;11.6;6.9;39.5
177;Sierra Leone;MEDIUM;1989;0.5;1.1;63.4;43.6;87.2;57.6;62.9
